Timestamp,Your Age,University Name,1. Do you use porn/masturbation to avoid or escape your feelings and problems or to alter your mood?,Q1,2. Do you feel empty or shameful after viewing pornography or masturbating and wish you could stop?,Q2,3. Have you ever promised yourself that you would never again view pornography or masturbate?,Q3,4. Have you stayed up late at night or woke up during the night to view pornography?,Q4,5. Do you worry something is wrong with you because of your sexual thoughts and feelings?,Q5,"6. Have you participated in on-line/internet sexual chats, emails, posts or in sexting?",Q6,"7. Do you find yourself viewing more and more porn, or different types of porn to feel the desired excitement?",Q7,8. Do your sexual thoughts and behaviors cause you to feel that you are unclean or unworthy?,Q8,9. Do you look for opportunities to be alone so that you can find pornography or masturbate?,Q9,10. Do you masturbate while viewing pornography?,Q10,11. Do you continue to view pornography even after encountering problems related to your viewing?,Q11,12. The thought of watching pornography makes me sexually aroused.,Q12,13. I would feel less bored if I watched pornography right now.,Q13,14. I will watch pornography as soon as I get the chance.,Q14,15. I would feel less stressed if I watched pornography right now.,Q15
1-17-2025 12:37:01,22,BADJENA SUBENDU SUBHASHCHANDRA ,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Disagree,1
1-17-2025 13:27:01,20,Ravenshaw University,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-17-2025 15:13:26,19,Ravenshaw University,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-17-2025 22:24:37,21,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Agree,2
1-20-2025 18:35:17,20,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,Yes,1,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-20-2025 19:02:36,21,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
1-20-2025 20:42:59,21,Ravenshaw University,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Agree,2
1-20-2025 21:22:32,20,Anonymous,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,Yes,1,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Disagree,1
1-22-2025 18:27:52,21,Ravenshaw university ,No,0,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-22-2025 18:34:12,20,Ravenshaw University ,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-22-2025 18:37:23,20,Ravenshaw ,No,0,No,0,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-22-2025 22:52:20,21,Central University of Madhya Pradesh ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-22-2025 22:56:58,23,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,Agree,2,Agree,2,Disagree,1,Disagree,1
1-22-2025 22:59:03,23,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Agree,2,Disagree,1,Disagree,1,Disagree,1
1-23-2025 9:32:48,23,Bishal Kumar Satapathy ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Disagree,1
1-23-2025 11:36:11,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Agree,2,Agree,2,Agree,2,Agree,2
1-23-2025 14:28:47,22,Fakir mohan university ,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Disagree,1,Agree,2,Disagree,1,Disagree,1
1-23-2025 14:29:40,21,Utkal University ,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
1-23-2025 14:30:12,22,Utkal University ,No,0,No,0,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Disagree,1,Agree,2
1-23-2025 14:31:03,22,Utkal University ,No,0,No,0,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
1-24-2025 15:04:14,18,Ravenshaw University ,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Agree,2,Disagree,1
1-25-2025 12:36:53,21,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Agree,2,Agree,2,Disagree,1,Agree,2
1-25-2025 16:01:28,21,Ravenshaw University ,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 10:28:17,22,RU,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
1-27-2025 13:53:29,22,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 14:16:23,23,RU,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 14:23:02,23,RU,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,Disagree,1,Agree,2,Agree,2,Agree,2
1-27-2025 14:24:18,21,Ravenshaw,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 14:40:55,20,Ravenshaw university ,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 14:49:06,19,Revanshsaw ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
1-27-2025 14:50:03,24,Ravenshaw University Cuttack ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
1-27-2025 14:56:07,21,Ravenshaw university ,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Agree,2,Disagree,1,Agree,2,Agree,2
1-27-2025 15:49:30,17,"Ravenshaw University, Cuttack ",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
1-27-2025 17:46:05,21,Ravenshaw University ,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:35:53,23,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:36:40,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:37:17,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:37:53,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:38:58,23,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Agree,2,Disagree,1
1-27-2025 19:39:34,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:41:29,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:42:10,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:42:46,23,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:43:27,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:44:09,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Agree,2,Disagree,1
1-27-2025 19:45:13,23,Ravenshaw University ,Yes,1,No,0,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:47:16,23,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:48:11,23,Ravenshaw University ,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:48:57,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:49:32,23,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:50:18,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:50:57,23,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:51:32,22,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 19:52:16,22,Ravenshaw University ,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 20:15:18,22,RU,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Disagree,1,Agree,2,Agree,2,Disagree,1
1-27-2025 20:28:30,23,RU,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,No,0,Yes,1,Yes,1,Disagree,1,Agree,2,Agree,2,Disagree,1
1-27-2025 20:30:19,22,RU,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,Yes,1,Agree,2,Agree,2,Agree,2,Disagree,1
1-27-2025 20:35:43,22,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-27-2025 22:14:35,22,RU,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
1-27-2025 22:15:44,23,RU,No,0,No,0,No,0,Yes,1,No,0,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,Disagree,1,Agree,2,Disagree,1,Agree,2
1-27-2025 23:01:48,21,Arabinda Nayak,Yes,1,No,0,Yes,1,No,0,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Agree,2,Disagree,1,Agree,2,Agree,2
1-31-2025 7:40:56,22,Christ college Cuttack ,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Agree,2
2025-02-01 07:40:56,23,Ravenshaw University ,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-02 07:40:56,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Agree,2,Disagree,1,Disagree,1,Disagree,1
2025-02-03 07:40:56,22,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Agree,2,Agree,2,Agree,2,Agree,2
2025-02-04 07:40:56,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Disagree,1,Agree,2,Agree,2
2025-02-05 07:40:56,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,Agree,2,Agree,2,Agree,2,Agree,2
2025-02-06 07:40:56,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Disagree,1,Disagree,1,Disagree,1
2025-02-07 07:40:56,21,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-08 07:40:56,23,Ravenshaw University ,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Disagree,1,Agree,2,Disagree,1,Agree,2
2025-02-09 07:40:56,18,Ravenshaw University ,Yes,1,No,0,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Agree,2,Agree,2,Disagree,1,Agree,2
2025-02-10 07:40:56,18,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Disagree,1,Agree,2
2025-02-11 07:40:56,19,Ravenshaw University ,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Disagree,1
2025-02-12 07:40:56,21,Ravenshaw University ,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-13 07:40:56,23,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-14 07:40:56,21,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Agree,2
2025-02-15 07:40:56,19,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,Yes,1,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-16 07:40:56,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
2025-02-17 07:40:56,20,Ravenshaw University ,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Agree,2
2025-02-18 07:40:56,19,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,Yes,1,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Disagree,1
2025-02-19 07:40:56,21,Ravenshaw University ,No,0,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-20 07:40:56,20,Ravenshaw University ,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-21 07:40:56,21,Ravenshaw University ,No,0,No,0,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-22 07:40:56,21,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-02-23 07:40:56,20,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,Agree,2,Agree,2,Disagree,1,Disagree,1
2025-02-24 07:40:56,21,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Agree,2,Disagree,1,Disagree,1,Disagree,1
2025-02-25 07:40:56,20,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Agree,2,Disagree,1,Disagree,1,Disagree,1
2025-02-26 07:40:56,20,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Agree,2,Agree,2,Agree,2,Agree,2
2025-02-27 07:40:56,21,Ravenshaw University ,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Disagree,1,Agree,2,Disagree,1,Disagree,1
2025-02-28 07:40:56,23,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
2025-03-01 07:40:56,23,Ravenshaw University ,No,0,No,0,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Disagree,1,Agree,2
2025-03-02 07:40:56,23,Ravenshaw University ,No,0,No,0,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
2025-03-03 07:40:56,22,Ravenshaw University ,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Agree,2,Disagree,1
2025-03-04 07:40:56,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Agree,2,Agree,2,Disagree,1,Agree,2
2025-03-05 07:40:56,21,Ravenshaw University ,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-06 07:40:56,22,Ravenshaw University ,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,Disagree,1,Agree,2,Disagree,1,Agree,2
2025-03-07 07:40:56,22,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-08 07:40:56,18,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-09 07:40:56,21,Ravenshaw University ,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,Disagree,1,Agree,2,Agree,2,Agree,2
2025-03-10 07:40:56,21,Ravenshaw University ,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-11 07:40:56,22,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-12 07:40:56,22,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
2025-03-13 07:40:56,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
2025-03-14 07:40:56,23,Ravenshaw University ,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Agree,2,Disagree,1,Agree,2,Agree,2
2025-03-15 07:40:56,21,Ravenshaw University ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Agree,2,Agree,2
2025-03-16 07:40:56,20,Ravenshaw University ,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-17 07:40:56,19,Ravenshaw University ,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-18 07:40:56,24,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,Yes,1,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-19 07:40:56,21,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-20 07:40:56,17,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-21 07:40:56,21,Ravenshaw University ,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Agree,2,Disagree,1
2025-03-22 07:40:56,23,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-23 07:40:56,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
2025-03-24 07:40:56,23,Ravenshaw University ,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
